filename,timestamp,beat,panel,emotion,angle,shot,line,url
01-18_p3.png,1:18-1:26,11,3,Power,Low angle,"Medium, finger raised","""Fall? Me? Never. Not once.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064307_46abbdb9-833c-42cb-9edd-34041224879f.png
01-18_p4.png,1:18-1:26,11,4,Power,Low angle,"Wide full body, swaggering","""Fall? Me? Never. Not once.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_065844_564cb0d0-da7a-45de-90e5-f417f1b90b7e.png
01-26_p1.png,1:26-1:37,12,1,Conflict,Over-the-shoulder,"Over Muhire onto Gasuka, asking","""Nobody ever caught you?"" / ""Police are too busy with traffic.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064307_8acd516b-4631-416f-8a79-1143701f6f26.png
01-26_p2.png,1:26-1:37,12,2,Conflict,Over-the-shoulder,"Reverse onto Muhire, dismissive","""Nobody ever caught you?"" / ""Police are too busy with traffic.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064307_ef432cd7-5a8f-41a0-a59b-2bdb2b29c1d7.png
01-26_p3.png,1:26-1:37,12,3,Conflict,Over-the-shoulder,"Over Muhire onto Gasuka, probing","""Nobody ever caught you?"" / ""Police are too busy with traffic.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064307_42e65214-8a6a-423e-9080-1008996e90ff.png
01-26_p4.png,1:26-1:37,12,4,Conflict,Over-the-shoulder,"Reverse onto Muhire, laughing","""Nobody ever caught you?"" / ""Police are too busy with traffic.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064307_9b8510cd-f2e2-42cb-ad9b-48670316e1c6.png
01-37_p1.png,1:37-1:47,13,1,Conflict,Over-the-shoulder,"Over Gasuka onto Muhire, smug finger","""My father knows people."" / ""Everybody's father knows people.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064352_91f10cf3-2fa6-49a4-abf3-21b62fcedb6e.png
01-37_p2.png,1:37-1:47,13,2,Conflict,Over-the-shoulder,"Reverse onto Gasuka, unimpressed","""My father knows people."" / ""Everybody's father knows people.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064352_e84faade-a4d6-40ca-9b49-e0d10861d276.png
01-37_p3.png,1:37-1:47,13,3,Conflict,Over-the-shoulder,"Over Gasuka onto Muhire, shrugging","""My father knows people."" / ""Everybody's father knows people.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064351_438d2d06-8a26-4546-bdec-36ffa1deb698.png
01-37_p4.png,1:37-1:47,13,4,Conflict,Over-the-shoulder,"Reverse onto Gasuka, sceptical","""My father knows people."" / ""Everybody's father knows people.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064351_81ebef4d-14a3-46fe-b67c-5eb61b3d3ae2.png
01-48_p1.png,1:48-1:58,14,1,Tension,Dutch angle,"Medium, counting on his fingers","""I can spot a cop a mile away. The walk. The shoes.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064351_289fedf2-c745-4005-a238-fabdc25b2b3c.png
01-48_p2.png,1:48-1:58,14,2,Tension,Dutch angle,"Close, miming a stern face","""I can spot a cop a mile away. The walk. The shoes.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064351_0546186e-b3b4-425e-8ec7-4b8a152b14f4.png
01-48_p3.png,1:48-1:58,14,3,Tension,Dutch angle,"Medium two-shot, gesturing down","""I can spot a cop a mile away. The walk. The shoes.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064351_3bc87e36-7000-4c69-965b-401e4e74330e.png
01-48_p4.png,1:48-1:58,14,4,Tension,Dutch angle,"Close on Gasuka, carefully blank","""I can spot a cop a mile away. The walk. The shoes.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064352_37ff7557-b937-4e2c-96eb-d60b895a6db8.png
01-58_p1.png,1:58-2:07,15,1,Tension,Dutch angle,"Low medium, the shoes sliding under the bench","""Police always wear shoes like-""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064351_083333ec-969b-400c-9438-520a8ecebc85.png
01-58_p2.png,1:58-2:07,15,2,Tension,Dutch angle,"Close on Gasuka, tight neutral","""Police always wear shoes like-""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064352_22f6c8f0-2c10-4500-b120-2bdbf0c362c6.png
01-58_p3.png,1:58-2:07,15,3,Tension,Dutch angle,"Wide two-shot, feet withdrawing","""Police always wear shoes like-""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064352_4bfe56e9-ada4-4ac8-9b1b-d1c9fb15380b.png
01-58_p4.png,1:58-2:07,15,4,Tension,Dutch angle,"Close on Muhire, oblivious","""Police always wear shoes like-""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064352_ee414b8d-bb24-4041-b590-d2155f1438e0.png
02-08_p1.png,2:08-2:22,16,1,Intimacy,Close-up,"Close on Muhire, hand on his heart","""Groom's side. Bride's side. Tonight we're family.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064450_4dcd4133-b37c-455f-a96f-db23570f81f8.png
02-08_p2.png,2:08-2:22,16,2,Intimacy,Close-up,"Close on Gasuka, small nod","""Groom's side. Bride's side. Tonight we're family.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064451_41fc0e7a-3e61-41c9-83c3-0c11ee2e777d.png
02-08_p3.png,2:08-2:22,16,3,Intimacy,Close-up,"Tight close, hand into the shirt pocket","""Groom's side. Bride's side. Tonight we're family.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064450_8a060fe6-6b27-4d72-8249-21ca5e975f1c.png
02-08_p4.png,2:08-2:22,16,4,Intimacy,Close-up,"Close on Muhire, leaning right in","""Groom's side. Bride's side. Tonight we're family.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064450_bb2764e9-83c7-4677-9d9a-e4c98e52ced2.png
02-22_p1.png,2:22-2:34,17,1,Intimacy,Close-up,"Close on Muhire, the paper twist raised","""Wedding special. Tonight I show you real art.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_065844_b799f682-5182-4945-beaa-53faeeb127ee.png
02-22_p2.png,2:22-2:34,17,2,Intimacy,Close-up,"Close on Gasuka, eyes dropping","""Wedding special. Tonight I show you real art.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064450_8eef2a66-fc33-4f98-b496-980f7a62bde4.png
02-22_p3.png,2:22-2:34,17,3,Intimacy,Close-up,"Close on Gasuka, eyes lifting","""Wedding special. Tonight I show you real art.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064450_72581098-585b-4282-af6b-51055a9caced.png
02-22_p4.png,2:22-2:34,17,4,Intimacy,Close-up,"Close on Muhire, delighted","""Wedding special. Tonight I show you real art.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064451_71cacc3f-7ad6-42a5-ae1e-99ded9beaa9b.png
02-35_p1.png,2:35-2:45,18,1,Power,Low angle,"Medium, rising with the badge out","""No more parties. Inspector Gasuka.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064451_ee154df0-239f-4bff-933c-17a546bc4eea.png
02-35_p2.png,2:35-2:45,18,2,Power,Low angle,Tight low on the badge wallet,"""No more parties. Inspector Gasuka.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064450_74a73625-445a-4ce4-8fba-4a1a6a63870e.png
02-35_p3.png,2:35-2:45,18,3,Power,Low angle,"Close from below, hard and calm","""No more parties. Inspector Gasuka.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064450_9cbde664-dddd-4c58-9f70-645d70e5560a.png
02-35_p4.png,2:35-2:45,18,4,Power,Low angle,"Wide full body, feet planted","""No more parties. Inspector Gasuka.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064450_e2e4a132-b150-436c-ae11-7246aa611c32.png
02-45_p1.png,2:45-2:57,19,1,Weakness,High angle,"Medium looking down, shoulders drawn in","""Police? At a wedding?"" / ""Police get invited too.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_234444c4-fdd1-4854-83a5-e0d470296040.png
02-45_p2.png,2:45-2:57,19,2,Weakness,High angle,"Close on the upturned face, panic","""Police? At a wedding?"" / ""Police get invited too.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_84d39bc6-b8b9-48d9-b413-b8126d32c6be.png
02-45_p3.png,2:45-2:57,19,3,Weakness,High angle,"Medium two-shot, standing over him","""Police? At a wedding?"" / ""Police get invited too.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_fdf419f6-35a2-4ef2-ba7b-0462d06b333f.png
02-45_p4.png,2:45-2:57,19,4,Weakness,High angle,"Wide, small in the frame","""Police? At a wedding?"" / ""Police get invited too.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_d8cb3964-7e5a-4bba-82cb-26d8d80ce257.png
02-57_p1.png,2:57-3:10,20,1,Weakness,High angle,"Medium, hands going behind the back","""Hands behind your back, King of Leaves.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_5681779b-66d6-4280-93a7-d5ca966fe7d6.png
02-57_p2.png,2:57-3:10,20,2,Weakness,High angle,"Close, head lowered, protesting","""Hands behind your back, King of Leaves.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_8274e100-bb6a-45b4-bf69-02b9f778276e.png
02-57_p3.png,2:57-3:10,20,3,Weakness,High angle,"Medium-wide, a hand on the shoulder","""Hands behind your back, King of Leaves.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_52bed82e-68e9-47be-905c-1de919f090ce.png
02-57_p4.png,2:57-3:10,20,4,Weakness,High angle,"Wide from above, wrists together","""Hands behind your back, King of Leaves.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_57eb8a98-7e4b-4086-bd0c-af543053f6a8.png
03-10_p1.png,3:10-3:21,21,1,Intimacy,Close-up,"Tight close, the note between two hands","""Call it a wedding gift. Nobody has to know.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_4e1e8558-ad59-4f7c-95ed-dfc2afe0ce37.png
03-10_p2.png,3:10-3:21,21,2,Intimacy,Close-up,"Close on Muhire, pleading","""Call it a wedding gift. Nobody has to know.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_58dfafb6-5832-4660-a2a8-b776d713893f.png
03-10_p3.png,3:10-3:21,21,3,Intimacy,Close-up,"Close on Gasuka, eyes down, refusing","""Call it a wedding gift. Nobody has to know.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_285dfaec-9658-40c0-8dc6-bfdba794fc9b.png
03-10_p4.png,3:10-3:21,21,4,Intimacy,Close-up,Extreme close on the folded note,"""Call it a wedding gift. Nobody has to know.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064537_f3b94afd-b47d-43a6-b23b-98d65b9ff09d.png
03-21_p1.png,3:21-3:33,22,1,Power,Low angle,"Medium, pushing the money back","""Put it away. And that's two charges.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064640_726e9e97-bf4c-424b-b4d1-e32d54f509be.png
